PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
CJ McCollum,"PG,SG",36,0.46,0.77,2.8,22.5,4.1,4.3,0.7,0.6,1.9,0,1,0,0,0,0,1,0
Evan Fournier ,"SG,SF",31.7,0.47,0.82,2.7,18.8,2.6,3.2,1.1,0.2,2,0,0,0,0,0,0,1,0
Terry Rozier,"PG,SG",34.4,0.42,0.87,2.7,18,4.4,4.1,1,0.2,2.2,1,0,0,0,0,0,1,0
Bojan Bogdanovic,"SG,SF,PF",33.1,0.45,0.91,3,20.2,4.1,2.1,0.5,0.1,2.5,0,0,0,0,0,0,1,0
Collin Sexton,"PG,SG",33,0.47,0.85,1.5,20.8,3.2,3,1,0.1,2.4,0,0,0,0,0,0,1,0
Dennis Schroder,PG,31,0.47,0.84,1.9,19,3.7,4.1,0.7,0.2,2.5,0,0,0,0,0,0,1,0
Luke Kennard ,SG,32.9,0.44,0.89,2.6,15.8,3.5,4.1,0.4,0.2,1.5,1,0,0,0,0,0,1,0
Marcus Smart,"PG,SG",32.5,0.38,0.83,2.4,13.5,3.8,4.8,1.6,0.5,1.7,1,0,0,0,0,0,1,0
Alec Burks,"PG,SG",27.3,0.4,0.88,1.7,15.1,4.5,2.9,1,0.3,1.4,1,0,0,0,0,0,1,0
Kevin Huerter ,"SG,SF",31.4,0.41,0.82,2.3,12.2,4.1,3.8,0.9,0.5,1.6,1,0,0,0,0,0,1,0
Terrence Ross,"SG,SF",27.4,0.41,0.85,2.6,14.8,3.2,1.2,1.1,0.3,1,1,0,0,0,1,0,1,0
Bogdan Bogdanovic,"SG,SF",28.5,0.43,0.7,2.6,14.5,3.2,3.2,1,0.3,1.7,1,1,0,0,0,0,1,0
Kendrick Nunn ,"PG,SG",29.8,0.45,0.8,2.1,15.6,2.7,3.4,0.8,0.2,1.6,0,0,0,0,0,0,1,0
Damion Lee,SG,29,0.41,0.85,1.7,12.7,4.9,2.7,1,0.1,1.4,1,0,0,0,0,0,1,0
Tim Hardaway Jr.,"SG,SF",28.8,0.44,0.79,2.9,15.8,3.1,2,0.7,0.1,1,1,0,0,0,1,0,1,0
Mike Conley,PG,28.6,0.4,0.79,2,13.8,3.2,4.3,0.8,0.1,1.9,1,0,0,0,0,0,1,0
